Nr.,Anrede,Titel,Vorname,Nachname,Geburtsdatum,Straße,PLZ,Stadt,Telefon,Mobil,Telefax,E-Mail,Newsletter
451,Frau,Dr.,Emily,Berner,6.8.1936,Ölbergstr. 115a,89250,Senden,07307 / 88266939,0155 / 8915662,07307 / 72975310,e.berner@mail.xyz,ja
452,Herr,Dr.,Conner,Zeiler,6.5.1929,Paul-Engelhard-Weg 67,29578,Eimke,05873 / 89241498,0163 / 3836015,05873 / 4874951,conner.zeiler@mail.xyz,ja
453,Herr,Dr.,Uwe,Park,19.2.1944,Telgenweg 63a,86971,Peiting,08861 / 4030309,0160 / 7169303,08861 / 14832486,u.park@mail.xyz,ja
454,Herr,Dr.,Luke,Tacke,6.11.1981,Pankokstr. 46,54608,Großlangenfeld,06551 / 632106,0178 / 8686653,06551 / 62088036,l.tacke@mail.xyz,ja
455,Herr,Dr.,Cedrik,Kretschmann,26.8.1985,Morthorststr. 64,53520,Sierscheid,02691 / 56667748,0159 / 1561755,02691 / 27602406,c.kretschmann@mail.xyz,ja
456,Frau,Dr.,Viktoria,Kunz,28.8.1945,Rosenplatz 13,23795,Fahrenkrug,04551 / 70702597,0152 / 1142200,04551 / 79754652,viktoria.kunz@mail.xyz,ja
457,Frau,Dr.,Jasmin,Blake,28.9.1997,Piusallee 171,93354,Biburg,09444 / 76764777,0160 / 9053851,09444 / 23830385,jasmin.blake@mail.xyz,ja
458,Frau,Dr.,Selin,Stock,18.9.1991,Dreizehnerstr. 150,29690,Grethem,05164 / 56609133,0155 / 3617464,05164 / 36070722,s.stock@mail.xyz,ja
459,Herr,Prof.,Christof,Nolte,16.11.1935,Vorgebirgstr. 32,37619,Hehlen,05533 / 57765923,0156 / 9619836,05533 / 36774253,c.nolte@mail.xyz,ja
460,Frau,Dr.,Mina,Reinhold,9.6.1929,Berrischstr. 89a,41541,Dormagen,02133 / 38015416,0160 / 7624977,02133 / 58384137,m.reinhold@mail.xyz,ja
461,Frau,Dr.,Mia,Rettig,13.2.1954,Münsterstr. 151,31600,Uchte,05763 / 57833957,0155 / 5862599,05763 / 79394667,m.rettig@mail.xyz,ja
462,Herr,Dr.,Helmut,Kahn,14.6.1974,Wörthstr. 19,91583,Schillingsfürst,09868 / 88975384,0164 / 3760316,09868 / 29063535,h.kahn@mail.xyz,ja
463,Herr,Dr.,Siegfried,Krenz,8.11.1954,Merheimer Str. 110,75223,Niefern-Öschelbronn,07233 / 4763621,0166 / 9433779,07233 / 529226,siegfried.krenz@mail.xyz,ja
464,Herr,Dr.,Bernd,Muhr,10.10.1946,Hacklenburg 20,95707,Thiersheim,09233 / 78883884,0176 / 5489255,09233 / 47975067,bernd.muhr@mail.xyz,ja
465,Herr,Dr.,Mathies,Sahm,25.1.1993,Zülpicher Str. 41,28201,Bremen,0421 / 31837424,0162 / 7056217,0421 / 38033371,m.sahm@mail.xyz,ja
466,Frau,Prof.,Charlotte,Teske,16.3.1923,Drachterstr. 184,25729,Windbergen,04859 / 36333667,0165 / 4833274,04859 / 61999377,charlotte.teske@mail.xyz,ja
467,Herr,Dr.,Ole,Lohmann,22.12.1973,Rennbahnstr. 193,48249,Buldern,02590 / 93453147,0170 / 7450320,02590 / 87724914,o.lohmann@mail.xyz,ja
468,Frau,Dr.,Madita,Busse,12.10.1984,Kirchstr. 30,56424,Mogendorf,02602 / 36013365,0168 / 3930426,02602 / 60741949,madita.busse@mail.xyz,ja
469,Herr,Prof.,Lucas,Westermann,20.5.1953,Berrischstr. 73,49844,Bawinkel,05963 / 59583878,0164 / 9069800,05963 / 85489813,lucas.westermann@mail.xyz,ja
470,Frau,Prof.,Marieke,Mai,21.4.1999,Dodostr. 186,24806,Lohe-Föhrden,04335 / 20606351,0169 / 8246204,04335 / 60454333,m.mai@mail.xyz,ja
471,Herr,Dr.,Mario,Brückner,3.4.1964,Overbergstr. 100,23815,Strukdorf,04551 / 38796794,0166 / 6943970,04551 / 72946150,mario.brueckner@mail.xyz,ja
472,Herr,Dr.,Michel,Rathmann,21.5.1972,Dorotheenstr. 96,64850,Schaafheim,06073 / 7634625,0154 / 1926265,06073 / 65045866,michel.rathmann@mail.xyz,ja
473,Herr,Dr.,Franz,Ganter,19.11.1923,Liboristr. 121,73450,Neresheim,07326 / 67232458,0173 / 2689515,07326 / 38412187,franz.ganter@mail.xyz,ja
474,Frau,Dr.,Ursula,Andrews,8.4.1959,Oberschlesier Str. 16,25563,Quarnstedt,04822 / 96259602,0172 / 2439590,04822 / 2393827,u.andrews@mail.xyz,ja
475,Frau,Dr.,Katrin,Ehlert,27.1.1990,Marsweg 39,67744,Hohenöllen,06382 / 56648225,0176 / 9818188,06382 / 36109011,k.ehlert@mail.xyz,ja
476,Frau,Dr.,Paulina,Eichhorn,8.6.1998,Memmertweg 185,55234,Hochborn,06244 / 58941521,0170 / 6525210,06244 / 96469832,p.eichhorn@mail.xyz,ja
477,Herr,Prof.,Luke,Salzmann,28.5.1935,Weseler Str. 125,93455,Traitsching,09974 / 71781982,0168 / 4957771,09974 / 39529114,luke.salzmann@mail.xyz,ja
478,Frau,Dr.,Celine,Drechsler,1.10.1993,Marktstr. 76a,21516,Schulendorf,04155 / 31927123,0153 / 5910330,04155 / 94545500,celine.drechsler@mail.xyz,ja
479,Herr,Dr.,Marten,Wienecke,1.8.1929,Elsa-Brändström-Weg 16,59510,Lippetal,02923 / 20316843,0169 / 4585286,02923 / 34873037,m.wienecke@mail.xyz,ja
480,Frau,Dr.,Leoni,Hofbauer,22.8.1933,Weseler Str. 88,73569,Obergröningen,07975 / 17038352,0177 / 9534460,07975 / 27239271,l.hofbauer@mail.xyz,ja
481,Frau,Prof.,Stina,Seemann,10.9.1963,Avendruper Str. 119,64283,Darmstadt,06151 / 99319702,0169 / 7990579,06151 / 94211714,stina.seemann@mail.xyz,ja
482,Herr,Dr.,Tore,Mosch,26.8.1985,Jakobusstr. 146,24813,Schülp,04331 / 22607681,0159 / 4274631,04331 / 11692676,t.mosch@mail.xyz,ja
483,Frau,Dr.,Carolina,Abbott,18.1.1965,Nerzweg 142a,51643,Gummersbach,02261 / 95424038,0170 / 1041168,02261 / 56257738,carolina.abbott@mail.xyz,ja
484,Herr,Dr.,Uwe,Moll,22.7.1920,Dauvemühle 21,16303,Schwedt,03332 / 11789895,0171 / 2059611,03332 / 62058485,uwe.moll@mail.xyz,ja
485,Herr,Prof.,Matthias,Moran,2.12.1956,Rottkamp 51,94548,Innernzell,08554 / 54823971,0170 / 4999593,08554 / 99117730,matthias.moran@mail.xyz,ja
486,Frau,Dr.,Lara,Peschel,11.11.1969,Lassallestr. 50,24799,Christiansholm,04339 / 55715004,0154 / 3659962,04339 / 34170144,lara.peschel@mail.xyz,ja
487,Herr,Dr.,Bennet,Lutz,20.3.1972,Enschedeweg 131,26524,Berumbur,04938 / 70562341,0157 / 7269274,04938 / 51678553,b.lutz@mail.xyz,ja
488,Herr,Dr.,Rafael,Hecht,16.6.1950,Weißenburgstr. 106,63683,Ortenberg,06046 / 54084770,0171 / 3453196,06046 / 17446803,rafael.hecht@mail.xyz,ja
489,Herr,Dr.,Mattis,Heyer,17.10.1984,Alte Apotheke 126,69434,Eberbach,06271 / 68501432,0172 / 8871619,06271 / 66627772,m.heyer@mail.xyz,ja
490,Herr,Dr.,Oskar,Long,1.6.1991,Am Wigbold 28,99427,Weimar,03643 / 51055714,0165 / 2538038,03643 / 5032406,o.long@mail.xyz,ja
491,Frau,Dr.,Ulrike,Krug,4.11.1927,Am Oedingteich 90,37434,Wollbrandshausen,05528 / 91001677,0167 / 1876669,05528 / 40437238,ulrike.krug@mail.xyz,ja
492,Frau,Dr.,Martha,Haupt,25.1.1970,Wormser Str. 130,83562,Rechtmehring,08076 / 86225973,0163 / 5726301,08076 / 63582382,m.haupt@mail.xyz,ja
493,Frau,Dr.,Cornelia,Uhl,28.8.1999,Schmeddingstr. 144,53783,Eitorf,02243 / 127167,0175 / 5502473,02243 / 13994649,c.uhl@mail.xyz,ja
494,Herr,Dr.,Linus,Böhme,3.2.1931,Grevener Str. 49,56414,Meudt,06435 / 9451050,0157 / 9997929,06435 / 328684,linus.boehme@mail.xyz,ja
495,Frau,Prof.,Katharina,Arnold,28.10.1972,Schubertstr. 91a,91809,Wellheim,08427 / 65927814,0159 / 2234430,08427 / 68197489,katharina.arnold@mail.xyz,ja
496,Herr,Dr.,Lorenz,Hübner,7.9.1997,Florentine-Eichler-Str. 47,36088,Hünfeld,06652 / 3289498,0154 / 1468737,06652 / 30920637,lorenz.huebner@mail.xyz,ja
497,Frau,Dr.,Emily,Roberson,21.3.1995,Nauheimer Str. 163,78269,Volkertshausen,07774 / 33303851,0150 / 2428092,07774 / 48191516,e.roberson@mail.xyz,ja
498,Frau,Dr.,Jil,Pross,25.7.1980,Unter Kahlenhausen 13,72649,Wolfschlugen,07022 / 91699204,0165 / 9697982,07022 / 9053860,jil.pross@mail.xyz,ja
499,Frau,Dr.,Catarina,Schönfeld,23.2.1987,Am Brook 18,90427,Nürnberg,0911 / 8521610,0168 / 9588618,0911 / 22787919,c.schoenfeld@mail.xyz,ja
500,Herr,Dr.,Luc,Martin,26.12.1931,Arnheimweg 110,77756,Hausach,07831 / 53886894,0157 / 7034851,07831 / 26791231,luc.martin@mail.xyz,ja
